PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA
Jodie Meeks,2015,222,534,74,212,145,160
Nene,2015,307,601,1,5,122,202
Vander Blue,2015,9,30,2,10,2,5
Anthony Morrow,2015,285,615,141,325,79,89
Brandon Bass,2015,344,683,9,32,169,214
Roy Hibbert,2015,317,710,0,2,168,204
Manu Ginobili,2015,251,589,89,258,147,204
Marcus Morris,2015,331,763,112,313,71,113
Marreese Speights,2015,318,646,5,18,150,178
Alexey Shved,2015,133,335,47,139,121,150
Ricky Rubio,2015,78,219,13,51,57,71
Kelly Olynyk,2015,251,528,61,175,93,136
Nikola Mirotic,2015,253,624,99,313,228,284
Patrick Beverley,2015,204,532,115,323,45,60
Mario Chalmers,2015,263,649,72,241,202,261
Zach LaVine,2015,286,677,57,167,149,177
Courtney Lee,2015,288,644,90,225,111,129
Harrison Barnes,2015,316,656,87,215,108,150
Gary Neal,2015,188,503,50,164,117,135
Matt Barnes,2015,277,624,136,376,74,95
CJ Watson,2015,181,417,70,175,138,167
Wayne Ellington,2015,254,617,90,243,52,64
Dennis Schroder,2015,284,665,52,148,148,179
Wesley Johnson,2015,286,691,91,259,90,112
Luc Mbah a Moute,2015,251,636,62,202,96,163
Terrence Ross,2015,309,753,145,390,44,56
Anderson Varejao,2015,111,200,0,2,33,45
Gorgui Dieng,2015,259,512,1,6,191,244
Timofey Mozgov,2015,314,566,2,6,155,216
Robin Lopez,2015,234,437,0,1,98,127
Evan Turner,2015,320,746,33,119,106,141
D.J. Augustin,2015,258,647,83,246,178,205
