Event,Round,Diver,Country,Rank,DiveNo,Difficulty,JScore,Judge,JCountry
M3mSB,3 - Final,RUIZ Mark,USA,7,2,3,7.5,GEAR Dennis,NZL
M3mSB,3 - Final,RUIZ Mark,USA,7,2,3,7.5,BOYS Beverley,CAN
M3mSB,3 - Final,RUIZ Mark,USA,7,2,3,7,JOHNSON Bente,NOR
M3mSB,3 - Final,RUIZ Mark,USA,7,2,3,6.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,RUIZ Mark,USA,7,2,3,7.5,CALDERON Felix,PUR
M3mSB,3 - Final,RUIZ Mark,USA,7,2,3,6,CRUZ Julia,ESP
M3mSB,3 - Final,RUIZ Mark,USA,7,3,3.1,7.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,RUIZ Mark,USA,7,3,3.1,7.5,GEAR Dennis,NZL
M3mSB,3 - Final,RUIZ Mark,USA,7,3,3.1,7.5,BOYS Beverley,CAN
M3mSB,3 - Final,RUIZ Mark,USA,7,3,3.1,7.5,JOHNSON Bente,NOR
